Alr;Ar;Br;Brm;Brmx;Brmy;Brx;Bry;Fl;Flx;Fly;Hr;Hrx;Hry;J;Je;Jivr;Jr;R;Tl;Z;gamma;mur;pj;t;v;vx;vy;wm;
0;0;0.00170684;0;0;0;-1.09827e-05;0.00170681;0;0;0;1358.26;-8.73974;1358.23;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1.15917;
9.18602e-13;2.81234e-08;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;3.26633e-05;0;2.26131e-05;0;1;0;0;0;0;0;1.16952;
3.67441e-12;5.62467e-08;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;6.53266e-05;0;4.52261e-05;0;1;0;0;0;0;0;1.16952;
8.26742e-12;8.43701e-08;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;9.79899e-05;0;6.78392e-05;0;1;0;0;0;0;0;1.16952;
1.46976e-11;1.12493e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000130653;0;9.04523e-05;0;1;0;0;0;0;0;1.16952;
2.2965e-11;1.40617e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000163317;0;0.000113065;0;1;0;0;0;0;0;1.16952;
3.30697e-11;1.6874e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00019598;0;0.000135678;0;1;0;0;0;0;0;1.16952;
4.50115e-11;1.96863e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000228643;0;0.000158291;0;1;0;0;0;0;0;1.16952;
5.87905e-11;2.24987e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000261307;0;0.000180905;0;1;0;0;0;0;0;1.16952;
7.44068e-11;2.5311e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00029397;0;0.000203518;0;1;0;0;0;0;0;1.16952;
9.18602e-11;2.81234e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000326633;0;0.000226131;0;1;0;0;0;0;0;1.16952;
1.11151e-10;3.09357e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000359296;0;0.000248744;0;1;0;0;0;0;0;1.16952;
1.32279e-10;3.3748e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00039196;0;0.000271357;0;1;0;0;0;0;0;1.16952;
1.55244e-10;3.65604e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000424623;0;0.00029397;0;1;0;0;0;0;0;1.16952;
1.80046e-10;3.93727e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000457286;0;0.000316583;0;1;0;0;0;0;0;1.16952;
2.06685e-10;4.2185e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00048995;0;0.000339196;0;1;0;0;0;0;0;1.16952;
2.35162e-10;4.49974e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000522613;0;0.000361809;0;1;0;0;0;0;0;1.16952;
2.65476e-10;4.78097e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000555276;0;0.000384422;0;1;0;0;0;0;0;1.16952;
2.97627e-10;5.0622e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00058794;0;0.000407035;0;1;0;0;0;0;0;1.16952;
3.31615e-10;5.34344e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000620603;0;0.000429648;0;1;0;0;0;0;0;1.16952;
3.67441e-10;5.62467e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000653266;0;0.000452261;0;1;0;0;0;0;0;1.16952;
4.05103e-10;5.9059e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00068593;0;0.000474874;0;1;0;0;0;0;0;1.16952;
4.44603e-10;6.18714e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000718593;0;0.000497487;0;1;0;0;0;0;0;1.16952;
4.8594e-10;6.46837e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000751256;0;0.000520101;0;1;0;0;0;0;0;1.16952;
5.29115e-10;6.7496e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00078392;0;0.000542714;0;1;0;0;0;0;0;1.16952;
5.74126e-10;7.03084e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000816583;0;0.000565327;0;1;0;0;0;0;0;1.16952;
6.20975e-10;7.31207e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000849246;0;0.00058794;0;1;0;0;0;0;0;1.16952;
6.69661e-10;7.59331e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00088191;0;0.000610553;0;1;0;0;0;0;0;1.16952;
7.20184e-10;7.87454e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000914573;0;0.000633166;0;1;0;0;0;0;0;1.16952;
7.72544e-10;8.15577e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000947236;0;0.000655779;0;1;0;0;0;0;0;1.16952;
8.26742e-10;8.43701e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.000979899;0;0.000678392;0;1;0;0;0;0;0;1.16952;
8.82777e-10;8.71824e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00101256;0;0.000701005;0;1;0;0;0;0;0;1.16952;
9.40648e-10;8.99947e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00104523;0;0.000723618;0;1;0;0;0;0;0;1.16952;
1.00036e-09;9.28071e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00107789;0;0.000746231;0;1;0;0;0;0;0;1.16952;
1.0619e-09;9.56194e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00111055;0;0.000768844;0;1;0;0;0;0;0;1.16952;
1.12529e-09;9.84317e-07;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00114322;0;0.000791457;0;1;0;0;0;0;0;1.16952;
1.19051e-09;1.01244e-06;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00117588;0;0.00081407;0;1;0;0;0;0;0;1.16952;
1.25757e-09;1.04056e-06;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00120854;0;0.000836683;0;1;0;0;0;0;0;1.16952;
1.32646e-09;1.06869e-06;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00124121;0;0.000859296;0;1;0;0;0;0;0;1.16952;
1.39719e-09;1.09681e-06;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00127387;0;0.00088191;0;1;0;0;0;0;0;1.16952;
1.46976e-09;1.12493e-06;0.00171445;0;0;0;-1.09827e-05;0.00171441;0;0;0;1364.31;-8.73974;1364.28;0;0;0;0;0.00130653;0;0.000904523;0;1;0;0;0;0;0;1.16952;
1.54426e-09;1.15312e-06;0.00171689;0;0;0;-1.08215e-05;0.00171686;0;0;0;1366.26;-8.61149;1366.23;0;0;0;0;0.0013392;0;0.000927136;0;1;0;0;0;0;0;1.17286;
1.62061e-09;1.18132e-06;0.00171695;0;0;0;-1.08215e-05;0.00171691;0;0;0;1366.3;-8.61149;1366.27;0;0;0;0;0.00137186;0;0.000949749;0;1;0;0;0;0;0;1.17293;
1.6988e-09;1.20952e-06;0.001717;0;0;0;-1.08215e-05;0.00171696;0;0;0;1366.34;-8.61149;1366.31;0;0;0;0;0.00140452;0;0.000972362;0;1;0;0;0;0;0;1.173;
1.77883e-09;1.23772e-06;0.00171705;0;0;0;-1.08215e-05;0.00171701;0;0;0;1366.38;-8.61149;1366.35;0;0;0;0;0.00143719;0;0.000994975;0;1;0;0;0;0;0;1.17307;
1.8607e-09;1.26591e-06;0.00171709;0;0;0;-1.08215e-05;0.00171706;0;0;0;1366.42;-8.61149;1366.39;0;0;0;0;0.00146985;0;0.00101759;0;1;0;0;0;0;0;1.17313;
1.94442e-09;1.29411e-06;0.00171714;0;0;0;-1.08215e-05;0.0017171;0;0;0;1366.45;-8.61149;1366.42;0;0;0;0;0.00150251;0;0.0010402;0;1;0;0;0;0;0;1.17319;
2.02998e-09;1.32231e-06;0.00171718;0;0;0;-1.08215e-05;0.00171715;0;0;0;1366.49;-8.61149;1366.46;0;0;0;0;0.00153518;0;0.00106281;0;1;0;0;0;0;0;1.17325;
2.11738e-09;1.35051e-06;0.00171722;0;0;0;-1.08215e-05;0.00171719;0;0;0;1366.52;-8.61149;1366.49;0;0;0;0;0.00156784;0;0.00108543;0;1;0;0;0;0;0;1.17331;
2.20662e-09;1.37871e-06;0.00171726;0;0;0;-1.08215e-05;0.00171723;0;0;0;1366.55;-8.61149;1366.52;0;0;0;0;0.0016005;0;0.00110804;0;1;0;0;0;0;0;1.17336;
2.29771e-09;1.40691e-06;0.0017173;0;0;0;-1.08215e-05;0.00171726;0;0;0;1366.58;-8.61149;1366.55;0;0;0;0;0.00163317;0;0.00113065;0;1;0;0;0;0;0;1.17341;
2.39064e-09;1.4351e-06;0.00171733;0;0;0;-1.08215e-05;0.0017173;0;0;0;1366.61;-8.61149;1366.58;0;0;0;0;0.00166583;0;0.00115327;0;1;0;0;0;0;0;1.17346;
2.48541e-09;1.4633e-06;0.00171737;0;0;0;-1.08215e-05;0.00171733;0;0;0;1366.64;-8.61149;1366.61;0;0;0;0;0.00169849;0;0.00117588;0;1;0;0;0;0;0;1.17351;
2.58202e-09;1.4915e-06;0.0017174;0;0;0;-1.08215e-05;0.00171737;0;0;0;1366.66;-8.61149;1366.63;0;0;0;0;0.00173116;0;0.00119849;0;1;0;0;0;0;0;1.17355;
2.68047e-09;1.5197e-06;0.00171743;0;0;0;-1.08215e-05;0.0017174;0;0;0;1366.69;-8.61149;1366.66;0;0;0;0;0.00176382;0;0.00122111;0;1;0;0;0;0;0;1.1736;
2.78077e-09;1.5479e-06;0.00171746;0;0;0;-1.08215e-05;0.00171743;0;0;0;1366.71;-8.61149;1366.68;0;0;0;0;0.00179648;0;0.00124372;0;1;0;0;0;0;0;1.17364;
2.88291e-09;1.57609e-06;0.00171749;0;0;0;-1.08215e-05;0.00171746;0;0;0;1366.74;-8.61149;1366.71;0;0;0;0;0.00182915;0;0.00126633;0;1;0;0;0;0;0;1.17368;
2.98689e-09;1.60429e-06;0.00171752;0;0;0;-1.08215e-05;0.00171749;0;0;0;1366.76;-8.61149;1366.73;0;0;0;0;0.00186181;0;0.00128894;0;1;0;0;0;0;0;1.17372;
3.09271e-09;1.63249e-06;0.00171755;0;0;0;-1.08215e-05;0.00171752;0;0;0;1366.78;-8.61149;1366.75;0;0;0;0;0.00189447;0;0.00131156;0;1;0;0;0;0;0;1.17376;
3.20037e-09;1.66069e-06;0.00171758;0;0;0;-1.08215e-05;0.00171754;0;0;0;1366.8;-8.61149;1366.77;0;0;0;0;0.00192714;0;0.00133417;0;1;0;0;0;0;0;1.17379;
3.30988e-09;1.68889e-06;0.0017176;0;0;0;-1.08215e-05;0.00171757;0;0;0;1366.82;-8.61149;1366.8;0;0;0;0;0.0019598;0;0.00135678;0;1;0;0;0;0;0;1.17383;
3.42123e-09;1.71708e-06;0.00171763;0;0;0;-1.08215e-05;0.00171759;0;0;0;1366.84;-8.61149;1366.82;0;0;0;0;0.00199246;0;0.0013794;0;1;0;0;0;0;0;1.17386;
3.53442e-09;1.74528e-06;0.00171765;0;0;0;-1.08215e-05;0.00171762;0;0;0;1366.86;-8.61149;1366.83;0;0;0;0;0.00202513;0;0.00140201;0;1;0;0;0;0;0;1.1739;
3.64945e-09;1.77348e-06;0.00171768;0;0;0;-1.08215e-05;0.00171764;0;0;0;1366.88;-8.61149;1366.85;0;0;0;0;0.00205779;0;0.00142462;0;1;0;0;0;0;0;1.17393;
